FBgn0000477	FBgn0010424	Protein	Protein	PPI	0.0	0	1
FBgn0037383	FBgn0264978	Protein	Protein	PPI	0.0	0	1
FBgn0002284	FBgn0261394	Protein	Protein	PPI	0.0	0	1
FBgn0033019	FBgn0036679	Protein	Protein	PPI	0.0	0	1
FBgn0028953	FBgn0263197	Protein	Protein	PPI	0.0	0	1
FBgn0032812	FBgn0037675	Protein	Protein	PPI	0.0	0	1
FBgn0016120	FBgn0263757	Protein	Protein	PPI	0.0	0	1
FBgn0004924	FBgn0030096	Protein	Protein	PPI	0.0	0	1
FBgn0000064	FBgn0028515	Protein	Protein	PPI	0.0	0	1
FBgn0035667	FBgn0037213	Protein	Protein	PPI	0.0	0	1
FBgn0031631	FBgn0267790	Protein	Protein	PPI	0.0	0	1
FBgn0033206	FBgn0086446	Protein	Protein	PPI	0.0	0	1
FBgn0035007	FBgn0262614	Protein	Protein	PPI	0.0	0	1
FBgn0029905	FBgn0039972	Protein	Protein	PPI	0.0	0	1
FBgn0005593	FBgn0053837	Protein	Protein	PPI	0.0	0	1
FBgn0004778	FBgn0038191	Protein	Protein	PPI	0.0	0	1
FBgn0000635	FBgn0250788	Protein	Protein	PPI	0.0	0	1
FBgn0003149	FBgn0053196	Protein	Protein	PPI	0.0	0	1
FBgn0024556	FBgn0250814	Protein	Protein	PPI	0.0	0	1
FBgn0053871	FBgn0261456	Protein	Protein	PPI	0.0	0	1
FBgn0001233	FBgn0243512	Protein	Protein	PPI	0.0	0	1
FBgn0010217	FBgn0053903	Protein	Protein	PPI	0.0	0	1
FBgn0037001	FBgn0038088	Protein	Protein	PPI	0.0	0	1
FBgn0016756	FBgn0265998	Protein	Protein	PPI	0.0	0	1
FBgn0002622	FBgn0029943	Protein	Protein	PPI	0.0	0	1
FBgn0019650	FBgn0266599	Protein	Protein	PPI	0.0	0	1
FBgn0026380	FBgn0031057	Protein	Protein	PPI	0.0	0	1
FBgn0035852	FBgn0039044	Protein	Protein	PPI	0.0	0	1
FBgn0011764	FBgn0034259	Protein	Protein	PPI	0.0	0	1
FBgn0035272	FBgn0037892	Protein	Protein	PPI	0.0	0	1
FBgn0052099	FBgn0265434	Protein	Protein	PPI	0.0	0	1
FBgn0030504	FBgn0266581	Protein	Protein	PPI	0.0	0	1
FBgn0013278	FBgn0261611	Protein	Protein	PPI	0.0	0	1
FBgn0020235	FBgn0029975	Protein	Protein	PPI	0.0	0	1
FBgn0000826	FBgn0263143	Protein	Protein	PPI	0.0	0	1
FBgn0027788	FBgn0031219	Protein	Protein	PPI	0.0	0	1
FBgn0035107	FBgn0052570	Protein	Protein	PPI	0.0	0	1
FBgn0032813	FBgn0263600	Protein	Protein	PPI	0.0	0	1
FBgn0010217	FBgn0053893	Protein	Protein	PPI	0.0	0	1
