#nodeID	final
Mlc-c	0.499040042133
zip	0.0114819684861
Tm1	0.00762190400957
Ubi-p63E	0.00703966382337
didum	0.0066096821298
Pglym87	0.00619740981697
Fibp	0.00615448952167
CG11459	0.00613438074377
CG10194	0.00611047263411
CG12691	0.00607898627979
His2B	0.00602010467135
CG13458	0.00601367217306
TFAM	0.00599364562835
dsh	0.00598979264864
CG15631	0.00595498501956
Pect	0.00590813205015
CG1307	0.00588534890633
sqh	0.00581185996102
fz	0.00578523731953
Rho1	0.00574944884779
CG11377	0.00573816234662
CG32276	0.00570855578165
pk	0.00567303605051
stan	0.00564386475132
dgo	0.00559573903605
Act5C	0.00469948339151
Appl	0.00428536636259
IKKepsilon	0.0040771732995
Act42A	0.00386732714487
Cdk2	0.00378332783963
Cul1	0.00372616973912
PAN2	0.00370939708906
Sce	0.00369278833116
krz	0.00367146104472
Spps	0.00365849571995
cora	0.00365576301999
CG3689	0.00365266342288
CG8184	0.00364770069711
Su(z)12	0.00363846903095
Mlh1	0.00363657637292
Drice	0.00363366491875
da	0.00362013359999
Dcp-1	0.00361870769791
PICK1	0.00361259261761
Mob4	0.00360600810422
eIF1	0.00359557784932
Myc	0.00359281819871
Usp12-46	0.0035872659921
CG7971	0.00357118051353
Usp16-45	0.00356490867165
Fer3HCH	0.00355381109279
Cep135	0.00354501588747
Atg101	0.00352083733504
CG4096	0.00349442025919
jar	0.00343421228503
asp	0.00338666788282
ck	0.00337747949232
Hsc70-3	0.00090769899299
Hsc70-5	0.000837972254683
sgg	0.00080464440053
flw	0.000678311250865
Pp1-87B	0.000658379203097
Usp10	0.000644259284878
slou	0.000620773851487
Rac1	0.000619497693769
Ubi-p5E	0.000619133923428
Tsp	0.000618943554449
PAPLA1	0.000595969961653
Cam	0.000578005177972
Fas2	0.000554830779313
Nedd8	0.000518120121907
Mi-2	0.000513618557085
CkIIalpha	0.000503431410387
RpS21	0.000501349265717
Mbs	0.000500259434885
CkIIbeta	0.000478968629
arm	0.000473631428033
smt3	0.000468446887761
